"county, state",Dollars2016,Dollars2017,Dollars2018,RankInDollars2018,PercentChange2017,PercentChange2018,RankInPercentChange2018
"Autauga, Alabama",39561.0,40450.0,41618.0,10.0,2.2,2.9,61.0
"Baldwin, Alabama",42907.0,43989.0,45596.0,4.0,2.5,3.7,55.0
"Barbour, Alabama",31595.0,33048.0,35199.0,41.0,4.6,6.5,2.0
"Bibb, Alabama",28799.0,29081.0,30254.0,66.0,1.0,4.0,43.0
"Blount, Alabama",32389.0,33533.0,34976.0,43.0,3.5,4.3,32.0
"Bullock, Alabama",26655.0,27442.0,28797.0,67.0,3.0,4.9,10.0
"Butler, Alabama",33501.0,34733.0,36450.0,32.0,3.7,4.9,9.0
"Calhoun, Alabama",34774.0,35721.0,37120.0,26.0,2.7,3.9,48.0
"Chambers, Alabama",32470.0,32583.0,33859.0,49.0,0.3,3.9,49.0
"Cherokee, Alabama",32826.0,33852.0,35505.0,39.0,3.1,4.9,12.0
"Chilton, Alabama",32204.0,33416.0,34798.0,45.0,3.8,4.1,40.0
"Choctaw, Alabama",35676.0,36603.0,39280.0,17.0,2.6,7.3,1.0
"Clarke, Alabama",34436.0,34777.0,36361.0,33.0,1.0,4.6,20.0
"Clay, Alabama",31149.0,32017.0,33530.0,50.0,2.8,4.7,15.0
"Cleburne, Alabama",33708.0,34862.0,36159.0,35.0,3.4,3.7,53.0
"Coffee, Alabama",40386.0,41268.0,43094.0,6.0,2.2,4.4,26.0
"Colbert, Alabama",36289.0,37073.0,38378.0,21.0,2.2,3.5,56.0
"Conecuh, Alabama",30308.0,31267.0,32656.0,57.0,3.2,4.4,24.0
"Coosa, Alabama",29174.0,29926.0,31328.0,64.0,2.6,4.7,17.0
"Covington, Alabama",33014.0,34393.0,35651.0,38.0,4.2,3.7,54.0
"Crenshaw, Alabama",34405.0,35823.0,36645.0,28.0,4.1,2.3,63.0
"Cullman, Alabama",36649.0,38158.0,39607.0,16.0,4.1,3.8,51.0
"Dale, Alabama",34492.0,35200.0,36613.0,29.0,2.1,4.0,45.0
"Dallas, Alabama",33454.0,34282.0,36026.0,37.0,2.5,5.1,7.0
"DeKalb, Alabama",29446.0,30682.0,31916.0,62.0,4.2,4.0,44.0
"Elmore, Alabama",39587.0,40966.0,42269.0,9.0,3.5,3.2,59.0
"Escambia, Alabama",30404.0,31641.0,32996.0,55.0,4.1,4.3,33.0
"Etowah, Alabama",34792.0,35542.0,36918.0,27.0,2.2,3.9,50.0
"Fayette, Alabama",32533.0,33492.0,34966.0,44.0,2.9,4.4,27.0
"Franklin, Alabama",30940.0,32422.0,34318.0,47.0,4.8,5.8,4.0
"Geneva, Alabama",32619.0,33736.0,35192.0,42.0,3.4,4.3,30.0
"Greene, Alabama",30737.0,31388.0,32359.0,60.0,2.1,3.1,60.0
"Hale, Alabama",34900.0,35559.0,36585.0,30.0,1.9,2.9,62.0
"Henry, Alabama",37657.0,38790.0,40360.0,12.0,3.0,4.0,42.0
"Houston, Alabama",39459.0,40642.0,42398.0,8.0,3.0,4.3,29.0
"Jackson, Alabama",34198.0,35099.0,36567.0,31.0,2.6,4.2,37.0
