"county, state",logist params,logist max error,exp params,exp max error,first case
"Autauga, Alabama",[0 0 0 0 0],0.0,[10.17332276  0.04962257 -6.61365164],0.05643773073341644,2020-03-24
"Baldwin, Alabama","[ 8.43064800e+00 -1.33399221e-01  2.33615219e+02  1.83900115e+01
 -3.36264674e+00]",108035568206.99171,[ 5.40147968  0.09290735 -7.6913176 ],0.07615928992608673,2020-03-14
"Barbour, Alabama",[-10.20717021 -24.87612145  29.73115149  21.67976129   6.46144432],0.08201183436384317,[ 4.31843096e+01  2.12436823e-02 -4.27484374e+01],0.08746442943104032,2020-04-03
"Bibb, Alabama",[ 7.53146339 -0.2328034  25.23947121  3.31424821  0.84630198],2542418138436.3535,[ 8.41286173  0.07095953 -6.6371084 ],0.0230934753488135,2020-03-30
"Blount, Alabama",[0 0 0 0 0],0.0,[ 21.22042815   0.02374318 -18.67492321],0.03781484164493855,2020-03-25
"Bullock, Alabama",[-17.03380862 -49.5949242   18.61134099  28.59068091   3.42864042],0.007993197317280175,[0.01075716 0.31902616 2.32302186],0.006938037302087657,2020-03-26
"Butler, Alabama",[-16.71955725 -49.44246053  12.50235869 118.45258506   2.90907162],0.020515313526104237,[0.0860508  0.22911438 0.57655641],0.006481175683054695,2020-03-25
"Calhoun, Alabama",[10.94736601 -0.45462421 61.01846309 13.01064014  1.75230658],21275228611705.004,[ 15.97545119   0.06362271 -21.37414267],0.9222292268624526,2020-03-18
"Chambers, Alabama","[ 3.42973394e+00 -2.05024773e-01  2.96219414e+02  1.43289444e+01
 -5.53735457e+00]",654978680490.4618,[ 46.03058425   0.07004585 -58.22198395],2.2972712487848526,2020-03-19
"Cherokee, Alabama",[-16.87726935 -23.08623672  18.81410755  28.62119698   5.00016403],0.020748663164914333,[ 3.94037632e+02  1.14680304e-03 -3.93821687e+02],0.018634876443280116,2020-03-25
"Chilton, Alabama",[0 0 0 0 0],0.0,[ 4.36742438e+01  2.70474910e-02 -4.06943675e+01],0.03498034369318424,2020-03-25
"Choctaw, Alabama",[-16.53208202 -23.50781436  18.01440133  28.37673665   5.47629671],0.03133786850893921,[ 3.23203431  0.07640996 -2.23010903],0.01262982504643083,2020-03-26
