"county, state",Population,Housing units,Total area,Water area,Land area,Population Density,Housing units Density,State
"Autauga, Alabama",54571.0,22135.0,604.39,9.95,594.44,91.8,37.2,Alabama
"Baldwin, Alabama",182265.0,104061.0,2027.31,437.53,1589.78,114.6,65.5,Alabama
"Barbour, Alabama",27457.0,11829.0,904.52,19.64,884.88,31.0,13.4,Alabama
"Bibb, Alabama",22915.0,8981.0,626.17,3.59,622.58,36.8,14.4,Alabama
"Blount, Alabama",57322.0,23887.0,650.63,5.85,644.78,88.9,37.0,Alabama
"Bullock, Alabama",10914.0,4493.0,625.14,2.34,622.8,17.5,7.2,Alabama
"Butler, Alabama",20947.0,9964.0,777.88,1.05,776.83,27.0,12.8,Alabama
"Calhoun, Alabama",118572.0,53289.0,612.29,6.42,605.87,195.7,88.0,Alabama
"Chambers, Alabama",34215.0,17004.0,603.11,6.58,596.53,57.4,28.5,Alabama
"Cherokee, Alabama",25989.0,16267.0,599.98,46.28,553.7,46.9,29.4,Alabama
"Chilton, Alabama",43643.0,19278.0,700.8,7.95,692.85,63.0,27.8,Alabama
"Choctaw, Alabama",13859.0,7269.0,920.86,7.36,913.5,15.2,8.0,Alabama
"Clarke, Alabama",25833.0,12638.0,1252.57,14.11,1238.46,20.9,10.2,Alabama
"Clay, Alabama",13932.0,6776.0,606.0,2.04,603.96,23.1,11.2,Alabama
"Cleburne, Alabama",14972.0,6718.0,561.01,0.91,560.1,26.7,12.0,Alabama
"Coffee, Alabama",49948.0,22330.0,680.49,1.52,678.97,73.6,32.9,Alabama
"Colbert, Alabama",54428.0,25758.0,622.13,29.51,592.62,91.8,43.5,Alabama
"Conecuh, Alabama",13228.0,7093.0,852.72,2.57,850.16,15.6,8.3,Alabama
"Coosa, Alabama",11539.0,6478.0,666.35,15.42,650.93,17.7,10.0,Alabama
"Covington, Alabama",37765.0,18829.0,1043.79,13.33,1030.46,36.6,18.3,Alabama
"Crenshaw, Alabama",13906.0,6735.0,610.92,2.08,608.84,22.8,11.1,Alabama
"Cullman, Alabama",80406.0,37054.0,755.02,20.18,734.84,109.4,50.4,Alabama
"Dale, Alabama",50251.0,22677.0,562.7,1.55,561.15,89.6,40.4,Alabama
"Dallas, Alabama",43820.0,20208.0,993.8,15.11,978.69,44.8,20.6,Alabama
"DeKalb, Alabama",71109.0,31109.0,778.69,1.59,777.09,91.5,40.0,Alabama
"Elmore, Alabama",79303.0,32657.0,657.04,38.56,618.48,128.2,52.8,Alabama
"Escambia, Alabama",38319.0,16486.0,953.14,8.06,945.08,40.5,17.4,Alabama
"Etowah, Alabama",104430.0,47454.0,548.63,13.64,534.99,195.2,88.7,Alabama
"Fayette, Alabama",17241.0,8437.0,629.36,1.7,627.66,27.5,13.4,Alabama
"Franklin, Alabama",31704.0,14022.0,646.52,12.7,633.82,50.0,22.1,Alabama
"Geneva, Alabama",26790.0,12687.0,578.95,4.54,574.41,46.6,22.1,Alabama
"Greene, Alabama",9045.0,5007.0,659.94,12.83,647.11,14.0,7.7,Alabama
"Hale, Alabama",15760.0,7655.0,656.5,12.56,643.94,24.5,11.9,Alabama
"Henry, Alabama",17302.0,8891.0,568.31,6.56,561.75,30.8,15.8,Alabama
"Houston, Alabama",101547.0,45319.0,581.65,1.83,579.82,175.1,78.2,Alabama
"Jackson, Alabama",53227.0,24786.0,1126.77,48.9,1077.87,49.4,23.0,Alabama
"Jefferson, Alabama",658466.0,300552.0,1123.81,12.54,1111.28,592.5,270.5,Alabama
"Lamar, Alabama",14564.0,7354.0,605.46,0.62,604.85,24.1,12.2,Alabama
"Lauderdale, Alabama",92709.0,43791.0,720.99,53.29,667.7,138.8,65.6,Alabama
"Lawrence, Alabama",34339.0,15229.0,717.2,26.52,690.68,49.7,22.0,Alabama
"Lee, Alabama",140247.0,62391.0,615.85,8.31,607.54,230.8,102.7,Alabama
"Limestone, Alabama",82782.0,34977.0,607.19,47.25,559.94,147.8,62.5,Alabama
"Lowndes, Alabama",11299.0,5140.0,725.07,9.16,715.91,15.8,7.2,Alabama
"Macon, Alabama",21452.0,10259.0,613.21,4.32,608.89,35.2,16.8,Alabama
"Madison, Alabama",334811.0,146447.0,812.7,11.11,801.59,417.7,182.7,Alabama
"Marengo, Alabama",21027.0,10237.0,982.67,5.79,976.88,21.5,10.5,Alabama
"Marion, Alabama",30776.0,14737.0,743.57,1.28,742.29,41.5,19.9,Alabama
"Marshall, Alabama",93019.0,40342.0,623.18,57.34,565.84,164.4,71.3,Alabama
"Mobile, Alabama",412992.0,178196.0,1644.01,414.58,1229.44,335.9,144.9,Alabama
"Monroe, Alabama",23068.0,11333.0,1034.42,8.74,1025.67,22.5,11.0,Alabama
"Montgomery, Alabama",229363.0,101641.0,799.91,15.66,784.25,292.5,129.6,Alabama
"Morgan, Alabama",119490.0,51193.0,599.05,19.72,579.34,206.3,88.4,Alabama
"Perry, Alabama",10591.0,4737.0,723.88,4.22,719.66,14.7,6.6,Alabama
"Pickens, Alabama",19746.0,9483.0,890.13,8.72,881.41,22.4,10.8,Alabama
"Pike, Alabama",32899.0,15267.0,673.01,0.91,672.09,48.9,22.7,Alabama
"Randolph, Alabama",22913.0,11982.0,584.13,3.59,580.55,39.5,20.6,Alabama
"Russell, Alabama",52947.0,24595.0,647.19,6.05,641.14,82.6,38.4,Alabama
"St. Clair, Alabama",83593.0,35541.0,653.64,21.74,631.9,132.3,56.2,Alabama
"Shelby, Alabama",195085.0,80970.0,809.53,24.59,784.93,248.5,103.2,Alabama
"Sumter, Alabama",13763.0,6786.0,913.32,9.43,903.89,15.2,7.5,Alabama
"Talladega, Alabama",82291.0,37088.0,760.31,23.53,736.78,111.7,50.3,Alabama
"Tallapoosa, Alabama",41616.0,22111.0,766.25,49.73,716.52,58.1,30.9,Alabama
"Tuscaloosa, Alabama",194656.0,84872.0,1351.25,29.5,1321.75,147.3,64.2,Alabama
