"county, state",Latitude,Longitude
"Autauga, Alabama",0,0
"Baldwin, Alabama",0,0
"Barbour, Alabama",0,0
"Bibb, Alabama",0,0
"Blount, Alabama",0,0
"Bullock, Alabama",0,0
"Butler, Alabama",0,0
"Calhoun, Alabama",0,0
"Chambers, Alabama",0,0
"Cherokee, Alabama",0,0
"Chilton, Alabama",0,0
"Choctaw, Alabama",0,0
"Clarke, Alabama",0,0
"Clay, Alabama",0,0
"Cleburne, Alabama",0,0
"Coffee, Alabama",0,0
"Colbert, Alabama",0,0
"Conecuh, Alabama",0,0
"Coosa, Alabama",0,0
"Covington, Alabama",0,0
"Crenshaw, Alabama",0,0
"Cullman, Alabama",0,0
"Dale, Alabama",0,0
"Dallas, Alabama",0,0
"DeKalb, Alabama",0,0
"Elmore, Alabama",0,0
"Escambia, Alabama",0,0
"Etowah, Alabama",0,0
"Fayette, Alabama",0,0
"Franklin, Alabama",0,0
"Geneva, Alabama",0,0
"Greene, Alabama",0,0
"Hale, Alabama",0,0
"Henry, Alabama",0,0
"Houston, Alabama",0,0
"Jackson, Alabama",0,0
"Jefferson, Alabama",0,0
"Lamar, Alabama",0,0
"Lauderdale, Alabama",0,0
"Lawrence, Alabama",0,0
"Lee, Alabama",0,0
"Limestone, Alabama",0,0
"Lowndes, Alabama",0,0
"Macon, Alabama",0,0
"Madison, Alabama",0,0
"Marengo, Alabama",0,0
"Marion, Alabama",0,0
"Marshall, Alabama",0,0
"Mobile, Alabama",0,0
"Monroe, Alabama",0,0
"Montgomery, Alabama",0,0
"Morgan, Alabama",0,0
"Perry, Alabama",0,0
"Pickens, Alabama",0,0
"Pike, Alabama",0,0
"Randolph, Alabama",0,0
"Russell, Alabama",0,0
"St. Clair, Alabama",0,0
"Shelby, Alabama",0,0
"Sumter, Alabama",0,0
"Talladega, Alabama",0,0
"Tallapoosa, Alabama",0,0
"Tuscaloosa, Alabama",0,0
"Walker, Alabama",0,0
"Washington, Alabama",0,0
"Wilcox, Alabama",0,0
"Winston, Alabama",0,0
"Juneau City and, Alaska",0,0
"Sitka City and, Alaska",0,0
"Wrangell City and, Alaska",0,0
"Yakutat City and, Alaska",0,0
"Apache, Arizona",0,0
"Cochise, Arizona",0,0
"Coconino, Arizona",0,0
"Gila, Arizona",0,0
"Graham, Arizona",0,0
"Greenlee, Arizona",0,0
"La Paz, Arizona",0,0
"Maricopa, Arizona",0,0
"Mohave, Arizona",0,0
"Navajo, Arizona",0,0
"Pima, Arizona",0,0
"Pinal, Arizona",0,0
"Santa Cruz, Arizona",0,0
"Yavapai, Arizona",0,0
"Yuma, Arizona",0,0
"Arkansas, Arkansas",0,0
"Ashley, Arkansas",0,0
"Baxter, Arkansas",0,0
