"county, state",SIP Order Date
"Autauga, Alabama",4/3/2020
"Baldwin, Alabama",4/3/2020
"Barbour, Alabama",4/3/2020
"Bibb, Alabama",4/3/2020
"Blount, Alabama",4/3/2020
"Bullock, Alabama",4/3/2020
"Butler, Alabama",4/3/2020
"Calhoun, Alabama",4/3/2020
"Chambers, Alabama",4/3/2020
"Cherokee, Alabama",4/3/2020
"Chilton, Alabama",4/3/2020
"Choctaw, Alabama",4/3/2020
"Clarke, Alabama",4/3/2020
"Clay, Alabama",4/3/2020
"Cleburne, Alabama",4/3/2020
"Coffee, Alabama",4/3/2020
"Colbert, Alabama",4/3/2020
"Conecuh, Alabama",4/3/2020
"Coosa, Alabama",4/3/2020
"Covington, Alabama",4/3/2020
"Crenshaw, Alabama",4/3/2020
"Cullman, Alabama",4/3/2020
"Dale, Alabama",4/3/2020
"Dallas, Alabama",4/3/2020
"DeKalb, Alabama",4/3/2020
"Elmore, Alabama",4/3/2020
"Escambia, Alabama",4/3/2020
"Etowah, Alabama",4/3/2020
"Fayette, Alabama",4/3/2020
"Franklin, Alabama",4/3/2020
"Geneva, Alabama",4/3/2020
"Greene, Alabama",4/3/2020
"Hale, Alabama",4/3/2020
"Henry, Alabama",4/3/2020
"Houston, Alabama",4/3/2020
"Jackson, Alabama",4/3/2020
"Jefferson, Alabama",4/3/2020
"Lamar, Alabama",4/3/2020
"Lauderdale, Alabama",4/3/2020
"Lawrence, Alabama",4/3/2020
"Lee, Alabama",4/3/2020
"Limestone, Alabama",4/3/2020
"Lowndes, Alabama",4/3/2020
"Macon, Alabama",4/3/2020
"Madison, Alabama",4/3/2020
"Marengo, Alabama",4/3/2020
"Marion, Alabama",4/3/2020
"Marshall, Alabama",4/3/2020
"Mobile, Alabama",4/3/2020
"Monroe, Alabama",4/3/2020
"Montgomery, Alabama",4/3/2020
"Morgan, Alabama",4/3/2020
"Perry, Alabama",4/3/2020
"Pickens, Alabama",4/3/2020
"Pike, Alabama",4/3/2020
"Randolph, Alabama",4/3/2020
"Russell, Alabama",4/3/2020
"St. Clair, Alabama",4/3/2020
"Shelby, Alabama",4/3/2020
"Sumter, Alabama",4/3/2020
"Talladega, Alabama",4/3/2020
"Tallapoosa, Alabama",4/3/2020
"Tuscaloosa, Alabama",4/3/2020
"Walker, Alabama",4/3/2020
"Washington, Alabama",4/3/2020
"Wilcox, Alabama",4/3/2020
"Winston, Alabama",4/3/2020
"Juneau City and, Alaska",3/27/2020
"Sitka City and, Alaska",3/27/2020
"Wrangell City and, Alaska",3/27/2020
"Yakutat City and, Alaska",3/27/2020
"Apache, Arizona",3/30/2020
"Cochise, Arizona",3/30/2020
"Coconino, Arizona",3/30/2020
"Gila, Arizona",3/30/2020
"Graham, Arizona",3/30/2020
"Greenlee, Arizona",3/30/2020
"La Paz, Arizona",3/30/2020
"Maricopa, Arizona",3/30/2020
"Mohave, Arizona",3/30/2020
"Navajo, Arizona",3/30/2020
"Pima, Arizona",3/30/2020
"Pinal, Arizona",3/30/2020
"Santa Cruz, Arizona",3/30/2020
"Yavapai, Arizona",3/30/2020
"Yuma, Arizona",3/30/2020
"Arkansas, Arkansas",0/0/0
"Ashley, Arkansas",0/0/0
"Baxter, Arkansas",0/0/0
"Benton, Arkansas",0/0/0
"Boone, Arkansas",0/0/0
"Bradley, Arkansas",0/0/0
"Calhoun, Arkansas",0/0/0
"Carroll, Arkansas",0/0/0
"Chicot, Arkansas",0/0/0
"Clark, Arkansas",0/0/0
"Clay, Arkansas",0/0/0
"Cleburne, Arkansas",0/0/0
"Cleveland, Arkansas",0/0/0
"Columbia, Arkansas",0/0/0
"Conway, Arkansas",0/0/0
"Craighead, Arkansas",0/0/0
"Crawford, Arkansas",0/0/0
"Crittenden, Arkansas",0/0/0
"Cross, Arkansas",0/0/0
"Dallas, Arkansas",0/0/0
"Desha, Arkansas",0/0/0
"Drew, Arkansas",0/0/0
"Faulkner, Arkansas",0/0/0
"Franklin, Arkansas",0/0/0
"Fulton, Arkansas",0/0/0
"Garland, Arkansas",0/0/0
"Grant, Arkansas",0/0/0
"Greene, Arkansas",0/0/0
"Hempstead, Arkansas",0/0/0
"Hot Spring, Arkansas",0/0/0
"Howard, Arkansas",0/0/0
"Independence, Arkansas",0/0/0
"Izard, Arkansas",0/0/0
"Jackson, Arkansas",0/0/0
"Jefferson, Arkansas",0/0/0
"Johnson, Arkansas",0/0/0
"Lafayette, Arkansas",0/0/0
"Lawrence, Arkansas",0/0/0
"Lee, Arkansas",0/0/0
"Lincoln, Arkansas",0/0/0
"Little River, Arkansas",0/0/0
"Logan, Arkansas",0/0/0
"Lonoke, Arkansas",0/0/0
"Madison, Arkansas",0/0/0
"Marion, Arkansas",0/0/0
"Miller, Arkansas",0/0/0
"Mississippi, Arkansas",0/0/0
"Monroe, Arkansas",0/0/0
"Montgomery, Arkansas",0/0/0
"Nevada, Arkansas",0/0/0
"Newton, Arkansas",0/0/0
"Ouachita, Arkansas",0/0/0
"Perry, Arkansas",0/0/0
"Phillips, Arkansas",0/0/0
"Pike, Arkansas",0/0/0
"Poinsett, Arkansas",0/0/0
"Polk, Arkansas",0/0/0
"Pope, Arkansas",0/0/0
