,"county, state",County Lat/long,SIP Order Date
0,"Snohomish County, Washington","48.0074736, -121.7304882",3/23/2020
1,"Cook County, Illinois","41.8197385, -87.756525",3/20/2020
2,"Orange County, California","33.7500378, -117.8704931",3/19/2020
3,"Maricopa County, Arizona","33.34883, -112.49123",3/30/2020
4,"Los Angeles County, California","34.3155072, -118.2096814",3/19/2020
5,"Santa Clara County, California","37.2333253, -121.6846349",3/19/2020
6,"Suffolk County, Massachusetts","42.3544455, -70.9788771",3/23/2020
7,"San Francisco County, California","36.7014631, -118.7559974",3/19/2020
8,"Dane County, Wisconsin","43.0709273, -89.4322174",3/24/2020
9,"San Diego County, California","32.9637838, -116.7706277",3/19/2020
10,"Bexar County, Texas","29.4263987, -98.5104781",3/31/2020
11,"Douglas County, Nebraska","41.2954112, -96.1415672",0/0/0
12,"Humboldt County, California","40.5997415, -123.8997734",3/19/2020
13,"Sacramento County, California","38.4732259, -121.2980707",3/19/2020
14,"Solano County, California","38.2218938, -121.9163555",3/19/2020
15,"Spokane County, Washington","47.5354964, -117.4074674",3/23/2020
16,"Salt Lake County, Utah","40.6632297, -111.9103124",3/27/2020
17,"Marin County, California","38.0409144, -122.6199638",3/19/2020
18,"Napa County, California","38.4898675, -122.3218414",3/19/2020
19,"Sonoma County, California","38.5110803, -122.8473388",3/19/2020
20,"Washington County, Oregon","45.5601883, -123.0587907",3/23/2020
21,"King County, Washington","47.4873376, -121.8622122",3/23/2020
22,"Alameda County, California","37.6090291, -121.899142",3/19/2020
23,"Hillsborough County, Florida","27.9184543, -82.3488057",4/1/2020
24,"Manatee County, Florida","27.5213933, -82.3801566",4/1/2020
25,"New York City County, New York","40.7127281, -74.0060152",3/20/2020
26,"Unknown County, Rhode Island","41.4769259, -71.5200774",3/30/2020
27,"Placer County, California","39.1012064, -120.7650606",3/19/2020
28,"San Mateo County, California","37.496904, -122.3330573",3/19/2020
29,"Fulton County, Georgia","34.0580391, -84.2961283",4/2/2020
30,"Norfolk County, Massachusetts","42.1538607, -71.1828015",3/23/2020
31,"Grafton County, New Hampshire","43.9702453, -71.8742626",3/26/2020
32,"Walla Walla County, Washington","46.2055155, -118.5174284",3/23/2020
33,"Contra Costa County, California","37.9034806, -121.9175345",3/19/2020
34,"Wake County, North Carolina","35.7979355, -78.6118311",3/27/2020
35,"Bergen County, New Jersey","40.9678345, -74.0563254",3/21/2020
36,"Westchester County, New York","41.1763139, -73.7907554",3/20/2020
37,"Fort Bend County, Texas","29.511218, -95.7807348",3/31/2020
38,"Chelan County, Washington","47.8012197, -120.6276904",3/23/2020
39,"Douglas County, Colorado","39.3420437, -104.9468945",3/25/2020
40,"Jefferson County, Colorado","39.5699803, -105.2561919",3/25/2020
41,"Santa Rosa County, Florida","30.6964502, -87.0097524",4/1/2020
42,"Montgomery County, Maryland","39.1406267, -77.2075612",3/30/2020
43,"Middlesex County, Massachusetts","42.485452, -71.3968261",3/23/2020
44,"Clark County, Nevada","36.3467726, -115.0907378",0/0/0
45,"Washoe County, Nevada","40.5849048, -119.6131606",0/0/0
46,"Nassau County, New York","40.7412643, -73.5877699",3/20/2020
47,"Williamson County, Tennessee","35.8772991, -86.8978708",3/30/2020
48,"Harris County, Texas","29.8119769, -95.3741247",3/31/2020
49,"Pinal County, Arizona","32.8085851, -111.4426212",3/30/2020
50,"Yolo County, California","38.7184542, -121.9059001",3/19/2020
51,"Denver County, Colorado","39.7348381, -104.9653271",3/25/2020
52,"Eagle County, Colorado","39.6161124, -106.7172844",3/25/2020
53,"El Paso County, Colorado","38.8287435, -104.5253456",3/25/2020
54,"Broward County, Florida","26.1598074, -80.4623642",4/1/2020
55,"Lee County, Florida","26.5999265, -81.8823135",4/1/2020
56,"Polk County, Georgia","33.9981581, -85.1567475",4/2/2020
57,"Honolulu County, Hawaii","21.468151, -157.960511",3/23/2020
58,"Marion County, Indiana","39.7810289, -86.1365457",3/23/2020
59,"Fayette County, Kentucky","38.0280648, -84.4722444",3/22/2020
60,"Ramsey County, Minnesota","45.0165728, -93.0949501",3/25/2020
61,"Camden County, New Jersey","39.8014709, -74.968553",3/21/2020
62,"Rockland County, New York","41.1519319, -74.0357266",3/20/2020
63,"Chatham County, North Carolina","35.7151316, -79.2533035",3/27/2020
64,"Tulsa County, Oklahoma","36.1012145, -95.9250506",4/1/2020
65,"Delaware County, Pennsylvania","39.9194117, -75.4001639",4/1/2020
66,"Wayne County, Pennsylvania","41.6264414, -75.3045103",4/1/2020
67,"Charleston County, South Carolina","32.8152646, -79.7996814",4/6/2020
68,"Kershaw County, South Carolina","34.3334398, -80.5669895",4/6/2020
69,"Davis County, Utah","41.0263758, -112.1197426",3/27/2020
70,"Washington County, Utah","37.2393471, -113.525776",3/27/2020
71,"Clark County, Washington","45.7669047, -122.4940866",3/23/2020
72,"Jefferson County, Washington","47.7325289, -123.6328565",3/23/2020
73,"Pierce County, Washington","47.0022547, -122.2117983",3/23/2020
74,"Fresno County, California","36.6713502, -119.8155355",3/19/2020
75,"Madera County, California","37.1716264, -119.7737991",3/19/2020
76,"Riverside County, California","33.7219991, -116.0372472",3/19/2020
77,"Santa Cruz County, California","37.050096, -121.9905908",3/19/2020
78,"District of Columbia County, District of Columbia","38.90651435, -77.03737669188929",3/30/2020
79,"Charlotte County, Florida","26.9013269, -81.9156799",4/1/2020
80,"Okaloosa County, Florida","30.6765961, -86.6037748",4/1/2020
81,"Volusia County, Florida","29.0533409, -81.1310761",4/1/2020
82,"Cobb County, Georgia","33.9373948, -84.5732006",4/2/2020
83,"Gwinnett County, Georgia","33.9566869, -84.0227467",4/2/2020
84,"Johnson County, Kansas","38.8837933, -94.8389141",3/28/2020
85,"Berkshire County, Massachusetts","42.3999954, -73.2322639",3/23/2020
86,"St. Louis County, Missouri","38.6398744, -90.51881277501238",4/3/2020
87,"Rockingham County, New Hampshire","42.9966675, -71.1003143",3/26/2020
88,"Saratoga County, New York","43.0833231, -73.8712155",3/20/2020
89,"Jackson County, Oregon","42.398015, -122.7540948",3/23/2020
90,"Klamath County, Oregon","42.6052565, -121.739544",3/23/2020
91,"Montgomery County, Pennsylvania","40.2154361, -75.3702305",4/1/2020
92,"Bennington County, Vermont","43.0125713, -73.1473048",3/24/2020
93,"Fairfax County, Virginia","38.8156356, -77.2836849",3/30/2020
94,"Kittitas County, Washington","47.1057471, -120.5849305",3/23/2020
95,"Fairfield County, Connecticut","41.2943069, -73.37486",3/20/2020
96,"Cherokee County, Georgia","34.2391265, -84.4720272",4/2/2020
97,"Hendricks County, Indiana","39.7565309, -86.5173641",3/23/2020
98,"Johnson County, Iowa","41.6861834, -91.6061124",0/0/0
99,"Harrison County, Kentucky","38.4355948, -84.3216412",3/22/2020
100,"Jefferson County, Kentucky","38.1787175, -85.664528",3/22/2020
101,"Harford County, Maryland","39.548545, -76.3048991",3/30/2020
102,"Worcester County, Massachusetts","42.3680019, -71.9220228",3/23/2020
103,"Carver County, Minnesota","44.807118, -93.7871792",3/25/2020
104,"Passaic County, New Jersey","41.0461864, -74.3177933",3/21/2020
105,"Suffolk County, New York","40.8832318, -72.8578027",3/20/2020
106,"Ulster County, New York","41.8689317, -74.2618518",3/20/2020
107,"Douglas County, Oregon","43.1922115, -123.1135963",3/23/2020
108,"Marion County, Oregon","44.8964425, -122.7203248",3/23/2020
109,"Spartanburg County, South Carolina","34.937029, -81.9955954",4/6/2020
110,"Davidson County, Tennessee","36.189724, -86.7857862",3/30/2020
111,"Shelby County, Tennessee","35.1782557, -89.8739775",3/30/2020
112,"Kitsap County, Washington","47.594502, -122.6474421",3/23/2020
113,"Pima County, Arizona","32.1112624, -111.6546163",3/30/2020
114,"Shasta County, California","40.7965121, -121.9979194",3/19/2020
115,"Arapahoe County, Colorado","39.6416781, -104.3628567",3/25/2020
116,"Larimer County, Colorado","40.6810174, -105.4726907",3/25/2020
117,"DeKalb County, Georgia","33.7575613, -84.2186508",4/2/2020
118,"Fayette County, Georgia","33.3899269, -84.4953763",4/2/2020
119,"Floyd County, Georgia","34.2421984, -85.2229248",4/2/2020
120,"Noble County, Indiana","41.3990708, -85.4193348",3/23/2020
121,"Pottawattamie County, Iowa","41.3115686, -95.5331269",0/0/0
122,"Jefferson County, Louisiana","30.5565392, -83.8722838",3/22/2020
123,"Prince George's County, Maryland","38.803929, -76.8518695",3/30/2020
124,"Hudson County, New Jersey","40.7381635, -74.0550731",3/21/2020
125,"Monmouth County, New Jersey","40.2932319, -74.1671114",3/21/2020
126,"Union County, New Jersey","40.6652251, -74.3045277",3/21/2020
127,"Cuyahoga County, Ohio","41.4301347, -81.6905558",3/22/2020
128,"Monroe County, Pennsylvania","41.0400423, -75.3249475",4/1/2020
129,"Collin County, Texas","33.1609629, -96.6060984",3/31/2020
130,"Virginia Beach city County, Virginia","36.5943204, -75.8876014",3/30/2020
131,"Pierce County, Wisconsin","44.7186568, -92.3786114",3/24/2020
132,"San Joaquin County, California","37.9372901, -121.2773719",3/19/2020
133,"Ventura County, California","34.4458248, -119.0779359",3/19/2020
134,"Gunnison County, Colorado","38.6476702, -107.0603126",3/25/2020
135,"Alachua County, Florida","29.675568, -82.3640109",4/1/2020
136,"Collier County, Florida","26.087964, -81.3794941",4/1/2020
137,"Nassau County, Florida","30.6624329, -81.7707334",4/1/2020
138,"Pasco County, Florida","28.2996183, -82.4522702",4/1/2020
139,"Pinellas County, Florida","27.8778904, -82.7329309",4/1/2020
140,"Charlton County, Georgia","30.8775388, -82.1185847",4/2/2020
141,"Kane County, Illinois","41.923434, -88.4248315",3/20/2020
142,"McHenry County, Illinois","42.3294391, -88.4605713",3/20/2020
143,"Adams County, Indiana","40.7371667, -84.9347295",3/23/2020
144,"Boone County, Indiana","40.0459913, -86.4650842",3/23/2020
145,"Orleans County, Louisiana","29.9510489, -90.08230762538903",3/22/2020
146,"Essex County, Massachusetts","42.6762973, -70.9486776",3/23/2020
147,"Oakland County, Michigan","42.6618842, -83.3804439",3/23/2020
148,"Wayne County, Michigan","42.2682408, -83.2844172",3/23/2020
149,"Anoka County, Minnesota","45.2710195, -93.2827625",3/25/2020
150,"Burlington County, New Jersey","39.9325409, -74.7226665",3/21/2020
151,"Multnomah County, Oregon","45.5093799, -122.4006413",3/23/2020
152,"Philadelphia County, Pennsylvania","40.0114538, -75.1326504",4/1/2020
153,"Beadle County, South Dakota","44.4157764, -98.2751583",3/23/2020
154,"Charles Mix County, South Dakota","43.2257871, -98.6162758",3/23/2020
155,"Davison County, South Dakota","43.6660467, -98.1383168",3/23/2020
156,"Minnehaha County, South Dakota","43.6680284, -96.7837626",3/23/2020
157,"Sullivan County, Tennessee","36.4966673, -82.286903",3/30/2020
158,"Dallas County, Texas","32.7620405, -96.7790069",3/31/2020
159,"Montgomery County, Texas","30.301949, -95.5065944",3/31/2020
160,"Tarrant County, Texas","32.7513658, -97.335696",3/31/2020
161,"Weber County, Utah","41.2728039, -111.8860648",3/27/2020
162,"Loudoun County, Virginia","39.0984586, -77.6705008",3/30/2020
163,"Skagit County, Washington","48.4596092, -121.7332784",3/23/2020
164,"Whatcom County, Washington","48.8107819, -121.8828175",3/23/2020
165,"Jefferson County, Arkansas","34.2711667, -91.9248307",0/0/0
166,"Stanislaus County, California","37.5500871, -121.0501425",3/19/2020
167,"Pitkin County, Colorado","39.2037774, -106.8695332",3/25/2020
168,"New Castle County, Delaware","39.6159851, -75.662956",3/22/2020
